"","player_api_id","player_name","player_fifa_id","overall_rating","gk_rating","num_app","num_leagues"
"3612",39331,"Modibo Diakite",177643,77,132,93,3
"3613",39332,"Pasquale Foggia",137214,NA,NA,30,1
"3614",39334,"Christian Daniel Ledesma",52797,82,155,178,1
"3615",39335,"Stefan Gislason",164829,72,140,37,1
"3616",39337,"Stephen Ayodele Makinwa",138928,78,108,6,1
"3617",39339,"Veigar Pall Gunnarsson",127432,75,125,1,1
"3618",39340,"Massimo Mutarelli",104059,73,134,20,1
"3619",39345,"Aleandro Rosi",178117,73,139,120,1
"3620",39349,"Mancini",1235,82,142,14,1
"3621",39350,"Tomas Danilevicius",138958,NA,NA,8,1
"3622",39351,"Doni",134982,81,401,53,2
"3623",39354,"Emanuele Manitta",137178,72,358,5,1
"3624",39357,"Giovanni Pasquale",2,76,145,105,1
"3625",39359,"Edison Mendez",156814,74,145,9,1
"3626",39360,"Luca Vigiani,22",138977,72,150,22,1
"3627",39367,"Antonio Nocerino",156988,82,144,182,2
"3628",39376,"Matteo Brighi",45605,79,160,129,1
"3629",39379,"Roy Beerens",169978,76,134,176,2
"3630",39386,"Daniele De Vezze",149174,68,151,5,1
"3631",39388,"Csaba Feher",149124,NA,NA,52,1
"3632",39389,"Antonio Ghomsi",177769,66,118,91,1
"3633",39390,"Luigi Lavecchia",137196,68,121,3,1
"3634",39391,"Salvatore Masiello",138903,73,130,59,1
"3635",39393,"Houssine Kharja",137241,77,143,65,1
"3636",39397,"Fabrizio Grillo",178437,65,64,1,1
"3637",39400,"Rok Straus",173126,61,48,24,1
"3638",39401,"Julio Sergio",136126,79,393,56,1
"3639",39410,"Max Tonetto",7514,76,148,10,1
"3640",39415,"Mariano Andujar",173857,77,388,160,1
"3641",39419,"Cesare Bovo",105866,NA,NA,158,1
"3642",39420,"Carlo Zotti",103940,NA,NA,33,1
"3643",39422,"Mattia Cassani",137380,79,141,203,1
"3644",39423,"Paolo Hernan Dellafiore",170307,72,145,57,1
"3645",39425,"Alberto Fontana",2431,77,384,4,1
"3646",39426,"Roberto Guana",45754,73,146,111,1
"3647",39428,"Gianni Munari",159040,73,133,69,1
"3648",39429,"Francesco Parravicini",137220,64,134,5,1
"3649",39435,"Davide Di Gennaro",183414,72,142,13,1
"3650",39440,"Vangelis Moras",150035,76,130,169,1
"3651",39441,"Bruno Cirillo",5401,75,139,28,1
"3652",39444,"Christian Brocchi",4514,77,148,89,1
"3653",39447,"Marco Borriello",123576,82,121,116,1
"3654",39450,"Panagiotis Kone",172882,76,54,117,1
