"","psraid","age","race","sex","inc","cable1","q5f","q5d","date2a","game1","game3a","job5d","snsjob2a","ideo"
"499",102762,19,1,2,8,1,1,1,1,2,1,NA,2,3
"500",102763,50,1,1,5,1,NA,NA,2,2,1,2,2,4
"501",102765,88,1,2,4,1,NA,NA,NA,2,1,NA,NA,2
"502",102766,66,1,2,99,1,NA,NA,NA,1,2,NA,NA,2
"503",102771,67,1,1,5,1,NA,NA,NA,1,2,NA,NA,3
"504",102778,86,1,2,98,1,NA,NA,NA,2,1,NA,NA,8
"505",102783,44,2,2,2,2,1,1,2,1,1,NA,1,8
"506",102784,67,1,1,6,1,NA,NA,NA,2,1,NA,NA,3
"507",102788,35,1,1,4,1,NA,NA,NA,2,2,1,NA,1
"508",102791,81,1,2,2,1,NA,NA,NA,2,2,NA,NA,8
"509",102792,68,1,2,98,1,NA,NA,NA,2,8,NA,NA,8
"510",102799,66,1,2,3,1,NA,NA,NA,2,1,NA,NA,2
"511",102804,47,1,2,7,1,2,2,2,2,1,1,2,3
"512",102814,72,1,2,7,2,2,1,2,2,1,NA,NA,3
"513",102820,60,1,2,7,1,2,2,NA,1,8,NA,8,3
"514",102826,59,1,2,2,1,NA,NA,NA,1,1,NA,2,3
"515",102827,47,1,2,7,1,2,2,2,1,1,2,2,3
"516",102842,90,1,2,98,8,NA,NA,NA,2,8,NA,NA,8
"517",102843,56,1,1,5,1,NA,NA,2,1,1,1,2,3
"518",102845,77,1,2,99,1,2,2,NA,2,2,NA,2,9
"519",102849,49,2,2,3,1,NA,NA,NA,2,2,1,NA,2
"520",102854,80,1,2,98,2,NA,NA,NA,2,2,NA,NA,8
"521",102858,67,2,1,99,1,NA,NA,NA,2,1,NA,NA,4
"522",102859,65,1,1,2,1,NA,NA,NA,2,1,1,NA,8
"523",102866,72,1,2,6,1,2,2,NA,1,2,NA,NA,3
"524",102867,64,1,2,98,1,2,2,NA,2,1,NA,NA,3
"525",102871,73,1,1,1,2,NA,NA,NA,2,2,NA,NA,3
"526",102873,67,1,2,98,1,NA,NA,NA,2,1,1,NA,2
"527",102874,78,1,2,2,1,NA,NA,2,1,2,NA,2,2
"528",102879,76,1,2,3,1,2,2,2,2,8,NA,NA,4
"529",102890,31,1,2,2,2,2,2,2,1,2,NA,2,3
"530",102891,82,1,1,5,1,NA,NA,NA,2,2,NA,NA,3
"531",102895,62,1,2,7,1,NA,NA,NA,1,2,NA,2,1
"532",102902,68,1,1,3,1,NA,NA,NA,2,2,NA,NA,4
"533",102920,53,1,2,8,1,NA,NA,2,1,1,2,2,2
"534",102922,30,3,1,7,2,1,2,2,1,2,2,1,3
"535",102923,58,1,2,7,1,NA,NA,NA,1,1,1,2,2
"536",102931,72,1,2,6,1,2,2,2,2,1,NA,NA,2
"537",102949,62,1,2,3,1,NA,NA,NA,2,2,1,2,3
"538",102950,74,1,1,99,1,2,2,NA,2,1,NA,NA,5
"539",102956,58,1,2,6,1,NA,NA,2,1,1,2,2,3
"540",102958,59,2,1,6,1,NA,NA,NA,1,1,NA,NA,4
"541",102962,66,2,2,98,1,2,2,2,1,8,NA,2,3
"542",102968,79,1,2,3,1,NA,NA,NA,1,1,NA,NA,2
"543",102969,74,1,1,6,2,NA,NA,2,2,1,NA,2,4
